first_word,first_code_emoji,first_code,assigned_second_guess,max_num_second_word_in_strategy,is_bin_solved,n_answers_in_bin,bin_probability,assigned_score_entropy,selected_second_guess_list
CRANE,🟩⬛🟩🟩⬛,20220,BIGOT,8,False,3,0.0013,0.4771,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟨⬛⬛🟩,21002,TOILS,8,False,3,0.0013,0.4771,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟩🟩⬛🟩,22202,TOILS,8,False,3,0.0013,0.2764,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟨🟩🟩,00122,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟩🟨🟩,00212,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟩🟩🟨,00221,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛⬛🟩🟩🟩,00222,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨🟩🟨🟨,01211,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩⬛🟨🟨,02011,SPILT,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛⬛🟨🟨,10011,BIGOT,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛⬛🟩🟩,10022,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛🟨⬛🟩,10102,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛🟨🟨🟨,10111,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛🟨🟨🟩,10112,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛🟩🟨⬛,10210,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟨⬛🟨⬛,11010,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟨🟨⬛🟨,11101,SPILT,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟨🟨🟨⬛,11110,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟨🟩⬛🟨,11201,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨🟩⬛⬛🟨,12001,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩⬛🟨🟩⬛,20120,TOILS,8,False,2,0.0009,0.3010,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟩🟩🟨⬛🟨,22101,TOILS,8,False,2,0.0009,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨⬛🟩🟩,01022,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨🟨🟨🟩,01112,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨🟨🟩⬛,01120,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨🟩🟨⬛,01210,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟨🟩🟨🟩,01212,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩⬛🟩🟨,02021,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,⬛🟩🟨🟩🟨,02121,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛⬛🟩⬛,10020,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛⬛🟩🟨,10021,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
CRANE,🟨⬛🟩🟨🟨,10211,TOILS,8,True,1,0.0004,-0.0000,"spilt,solid,deist,betel,bigot,south,toils,pouts"
